City ID,City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed (m/s),Country,Date
0,0,iqaluit,63.7506,-68.5145,-29.59259259259259,79,100,5.81,CA,1681960445
1,1,jamestown,42.097,-79.2353,-25.873456790123456,75,75,0.0,US,1681960446
2,2,grytviken,-54.2811,-36.5092,-26.654320987654316,92,99,2.7,GS,1681960446
3,3,manokwari,-0.8667,134.0833,-19.040123456790127,76,100,1.33,ID,1681960447
4,4,afaahiti,-17.75,-149.2833,-19.033950617283953,84,98,6.51,PF,1681960447
5,5,pimentel,-6.8367,-79.9342,-19.88888888888889,73,0,3.09,PE,1681960447
6,6,junin,-34.5838,-60.9433,-25.101851851851855,82,0,1.46,AR,1681960207
7,7,waitangi,-43.9535,-176.5597,-22.370370370370367,90,97,3.58,NZ,1681960448
8,8,yellowknife,62.456,-114.3525,-27.90740740740741,81,8,2.75,CA,1681960370
9,9,aripuana,-9.1667,-60.6333,-20.69753086419753,98,29,0.65,BR,1681960449
10,10,port-aux-francais,-49.35,70.2167,-26.117283950617285,68,12,15.55,TF,1681960449
11,11,bredasdorp,-34.5322,20.0403,-22.4320987654321,51,100,2.58,ZA,1681960450
12,12,beira,-19.8436,34.8389,-21.40123456790123,93,12,2.59,MZ,1681960450
13,13,chonchi,-42.6128,-73.8092,-23.469135802469133,97,82,1.36,CL,1681960450
14,14,kourou,5.1552,-52.6478,-20.237654320987655,92,98,2.83,GF,1681960451
15,15,betio village,1.358,172.9211,-18.080246913580247,76,50,5.7,KI,1681960451
16,16,maharaganj,27.1333,83.5667,-16.635802469135804,15,45,4.86,IN,1681960452
17,17,arraial do cabo,-22.9661,-42.0278,-20.358024691358025,82,100,4.19,BR,1681960453
18,18,kaya,13.0917,-1.0844,-18.419753086419753,11,78,0.78,BF,1681960453
19,19,hermanus,-34.4187,19.2345,-22.54320987654321,75,100,6.67,ZA,1681960453
20,20,sitka,57.0531,-135.33,-24.27777777777778,43,40,7.72,US,1681960453
21,21,naze,28.3667,129.4833,-21.712962962962965,96,100,6.97,JP,1681960454
22,22,bilibino,68.0546,166.4372,-27.641975308641978,89,100,1.33,RU,1681960455
23,23,krutaya gorka,55.3649,73.2231,-27.194444444444443,39,39,2.73,RU,1681960455
24,24,lagunas,-5.2269,-75.6753,-20.246913580246915,93,100,0.21,PE,1681960456
25,25,akonolinga,3.7667,12.25,-21.36111111111111,99,91,0.82,CM,1681960457
26,26,adamstown,-25.066,-130.1015,-20.166666666666668,77,100,1.22,PN,1681960457
27,27,kidal,18.4411,1.4078,-19.015432098765434,8,78,4.7,ML,1681960457
28,28,invercargill,-46.4,168.35,-22.444444444444443,62,87,0.91,NZ,1681960235
29,29,avarua,-21.2078,-159.775,-19.92901234567901,100,75,7.2,CK,1681960458
30,30,nuuk,64.1835,-51.7216,-28.166666666666668,93,100,3.6,GL,1681960458
31,31,isafjordur,66.0755,-23.124,-25.34876543209877,88,52,5.73,IS,1681960293
32,32,tongren,27.7172,109.1853,-19.583333333333332,67,90,1.69,CN,1681960459
33,33,barranca,-10.75,-77.7667,-20.44753086419753,82,35,3.96,PE,1681960459
34,34,utrik,11.2278,169.8474,-19.36728395061728,78,99,8.11,MH,1681960460
35,35,bethel,41.3712,-73.414,-25.145061728395063,70,0,0.0,US,1681960460
36,36,talnakh,69.4865,88.3972,-31.904320987654323,93,98,3.49,RU,1681960460
37,37,magistral'nyy,56.1725,107.4458,-29.095679012345677,53,100,2.13,RU,1681960461
38,38,ushuaia,-54.8,-68.3,-27.47222222222222,94,55,2.42,AR,1681960461
39,39,edinburgh of the seven seas,-37.0676,-12.3116,-22.114197530864196,92,100,13.35,SH,1681960461
40,40,kerikeri,-35.2268,173.9474,-20.811728395061728,89,100,1.79,NZ,1681960244
41,41,sisimiut,66.9395,-53.6735,-30.25,81,89,3.7,GL,1681960462
42,42,port mathurin,-19.6833,63.4167,-19.657407407407405,76,14,9.34,MU,1681960462
43,43,sohbatpur,28.5202,68.5434,-18.87654320987654,10,0,6.35,PK,1681960463
44,44,tiksi,71.6872,128.8694,-33.29938271604938,96,100,2.68,RU,1681960228
45,45,ponnamaravati,10.3,78.55,-18.429012345679013,61,6,2.82,IN,1681960463
46,46,oban,56.4127,-5.4706,-26.73148148148148,74,2,3.13,GB,1681960463
47,47,udachny,66.4167,112.4,-29.120370370370374,48,100,3.41,RU,1681960182
48,48,rio grande,-32.035,-52.0986,-23.416666666666668,81,13,6.54,BR,1681960464
49,49,torghay,49.6339,63.4981,-25.666666666666668,78,23,4.11,KZ,1681960465
50,50,uturoa,-16.7333,-151.4333,-18.935185185185187,78,100,6.11,PF,1681960366
51,51,fale old settlement,-9.3852,-171.2468,-18.885802469135804,69,56,2.31,TK,1681960465
52,52,hasaki,35.7333,140.8333,-20.23148148148148,77,49,2.71,JP,1681960466
53,53,dean funes,-30.4204,-64.3498,-23.26851851851852,61,1,3.33,AR,1681960466
54,54,carbonear,47.7332,-53.2148,-26.944444444444443,94,100,4.6,CA,1681960467
55,55,murzuq,25.9155,13.9184,-21.817901234567906,17,64,5.06,LY,1681960467
56,56,west island,-12.1568,96.8225,-19.015432098765434,78,100,7.2,CC,1681960467
57,57,damghan,36.1683,54.348,-22.441358024691358,28,5,0.5,IR,1681960468
58,58,blackmans bay,-43.0167,147.3167,-22.385802469135804,75,100,2.57,AU,1681960468
59,59,ribeira grande,38.5167,-28.7,-24.092592592592595,69,99,3.13,PT,1681960262
60,60,santa teresa,10.2341,-66.6631,-19.694444444444443,94,86,0.72,VE,1681960468
61,61,luderitz,-26.6481,15.1594,-23.03395061728395,80,83,3.08,,1681960469
62,62,cascais,38.6979,-9.4215,-23.037037037037038,80,2,7.15,PT,1681960469
63,63,lebu,-37.6167,-73.65,-23.771604938271608,95,94,6.25,CL,1681960470
64,64,as suwayrah,32.9256,44.7758,-20.296296296296294,21,14,1.26,IQ,1681960470
65,65,kosh-agach,50.0,88.6667,-30.79938271604938,64,100,1.47,RU,1681960470
66,66,albany,42.6001,-73.9662,-26.879629629629633,78,90,2.59,US,1681960471
67,67,mont-dore,-22.2833,166.5833,-18.70679012345679,99,64,1.8,NC,1681960471
68,68,college,64.8569,-147.8028,-26.055555555555557,49,40,3.6,US,1681960472
